Label	rev_id	comment	year	logged_in	ns	sample	split
N	666674821.0	"  ==He is a Rapist!!!!!== Please edit the article to include this important fact. Thank You.  — Preceding unsigned comment added by   •   "	2015	True	article	blocked	train
N	24297552.0	The other two films Hitch and Magnolia are also directly related to the community in question, and may be of interest to those who see those films.  So why not link to them?  	2005	False	article	random	train
N	329801523.0	  == blocking people ==  how can i block lambs12 from my page and editing my stuff she's saying bad things she's my sister  	2009	True	user	random	test
Y	391141109.0	  == Are you a female????? ==  mootmootmootmootmootmootmootmootmootmoot	2010	True	user	blocked	train
N	426027506.0	 :::::Good enough for me; thanks for the info. I'll check the Sheffield references later. -   	2011	True	article	random	train
N	402484476.0	  == Motherjane concert location ==  Hi,  Motherjane, being a popular band, has headlined a lot of college rock festivals in India. But quoting the name of every college that they have performed is not quite right. So please refrain from adding the names of any more colleges/institutes. Thanks! —   	2010	True	article	random	train
N	361804288.0	  == warning ==  don't vandalize   	2010	True	user	blocked	train
N	668780869.0	" :There were reviews from critics in her song?   "	2015	True	article	blocked	train
N	555501737.0	"  Jack, is it a misrepresentation for you to write more than 500,000 nucleotide base pairs, or should you write 582 base pair.   Lets start watching ""RNA world"" page too.   "	2013	True	user	blocked	train
N	463827776.0	":Thank you, I will use these tool responsibly.  (Editor Review)   "	2011	True	user	random	train